id,carat,cut,color,clarity,depth,table,x,y,z,price
9073,0.33,Premium,H,VS2,62.3,58.0,4.41,4.38,2.74,6.504
9074,0.91,Premium,E,VS2,61.1,58.0,6.28,6.2,3.81,8.528
9075,0.7,Ideal,F,VS1,62.2,55.0,5.72,5.69,3.55,7.775
9076,0.41,Premium,E,SI1,61.0,59.0,4.78,4.82,2.93,6.627
9077,0.96,Very Good,D,SI1,59.9,58.0,6.4,6.46,3.85,8.621
9078,2.02,Ideal,I,SI2,62.3,55.0,8.1,8.06,5.03,9.266
9079,0.42,Premium,F,VS1,61.9,55.0,4.82,4.78,2.97,7.006
9080,0.34,Very Good,F,SI2,63.3,54.0,4.48,4.46,2.83,6.353
9081,0.71,Premium,G,SI1,62.5,58.0,5.66,5.61,3.52,7.868
9082,0.75,Premium,I,SI1,62.7,61.0,5.75,5.71,3.59,7.669
9083,1.06,Ideal,H,SI2,60.6,55.0,6.62,6.65,4.02,8.439
9084,0.52,Ideal,F,VS1,61.2,57.0,5.2,5.16,3.17,7.535
9085,0.33,Very Good,F,VS2,61.2,58.0,4.45,4.5,2.74,6.501
9086,0.56,Very Good,D,VVS2,61.6,59.0,5.27,5.34,3.27,7.868
9087,1.01,Very Good,E,VVS2,63.4,56.0,6.32,6.37,4.02,9.174
9088,0.5,Premium,G,VVS2,59.6,60.0,5.18,5.15,3.08,7.568
9089,0.93,Premium,F,SI1,62.3,58.0,6.22,6.18,3.86,8.366
9090,0.29,Ideal,H,VVS2,61.6,55.0,4.27,4.29,2.64,6.409
9091,0.39,Premium,J,VS2,61.3,60.0,4.68,4.65,2.86,6.615
9092,1.34,Ideal,G,VS2,61.9,56.0,7.05,7.1,4.38,9.131
9093,1.0,Good,G,VS2,63.1,58.0,6.31,6.39,4.01,8.634
9094,0.33,Premium,G,VS1,60.8,59.0,4.43,4.45,2.7,6.501
9095,0.3,Premium,D,VS2,60.6,59.0,4.28,4.36,2.62,6.565
9096,0.41,Ideal,E,VS1,62.1,56.0,4.78,4.75,2.96,7.05
9097,1.34,Ideal,H,SI2,61.6,56.0,7.1,7.05,4.36,8.84
9098,1.53,Very Good,H,SI1,61.1,57.0,7.44,7.45,4.55,9.256
9099,0.7,Very Good,F,SI1,63.4,59.0,5.59,5.64,3.56,7.725
9100,0.82,Premium,E,SI1,62.5,56.0,6.01,5.96,3.74,8.1
9101,0.44,Good,E,SI1,63.2,53.0,4.84,4.87,3.07,6.628
9102,0.9,Very Good,D,SI1,60.6,59.0,6.23,6.28,3.79,8.525
9103,0.52,Ideal,F,VVS2,62.0,55.0,5.16,5.2,3.21,7.682
9104,0.3,Ideal,F,VS2,61.9,55.0,4.32,4.31,2.67,6.654
9105,1.2,Very Good,J,VS1,63.1,59.0,6.75,6.65,4.23,8.59
9106,0.74,Ideal,G,VS2,61.2,56.0,5.82,5.85,3.57,8.141
9107,1.2,Very Good,I,SI1,62.4,59.0,6.73,6.79,4.22,8.668
9108,0.33,Ideal,E,VS1,62.7,57.0,4.38,4.45,2.77,6.661
9109,0.51,Ideal,E,SI1,62.3,56.0,5.15,5.12,3.2,7.274
9110,1.01,Premium,E,SI1,62.8,59.0,6.31,6.27,3.95,8.63
9111,1.05,Ideal,E,VVS2,61.3,56.0,6.55,6.59,4.03,9.195
9112,1.5,Good,E,SI1,61.3,65.0,7.17,7.23,4.41,9.294
9113,0.35,Very Good,H,SI1,60.0,61.0,4.57,4.6,2.75,6.196
9114,1.0,Fair,E,SI1,66.5,55.0,6.21,6.19,4.12,8.215
9115,1.02,Ideal,F,SI2,62.4,55.0,6.46,6.43,4.02,8.447
9116,0.71,Ideal,D,SI2,60.2,57.0,5.77,5.83,3.49,7.724
9117,0.35,Ideal,E,VS2,62.0,57.0,4.55,4.51,2.81,6.892
9118,0.64,Ideal,G,IF,61.7,58.0,5.52,5.56,3.42,7.993
9119,1.02,Ideal,G,I1,61.5,56.0,6.46,6.49,3.98,8.108
9120,0.7,Good,F,VVS1,63.3,56.0,5.64,5.7,3.59,8.105
9121,0.3,Premium,E,VS2,62.0,59.0,4.31,4.27,2.66,6.738
9122,1.0,Fair,G,SI1,66.2,58.0,6.25,6.15,4.11,8.365
9123,0.39,Ideal,G,VS1,61.8,55.0,4.72,4.76,2.93,6.687
9124,1.15,Very Good,G,VS2,60.1,60.0,6.75,6.8,4.08,8.878
9125,2.31,Premium,J,VS1,62.3,61.0,8.55,8.43,5.29,9.767
9126,0.38,Ideal,G,SI2,61.6,55.0,4.64,4.68,2.87,6.4
9127,1.21,Very Good,H,VS1,63.3,58.0,6.77,6.72,4.27,8.835
9128,0.29,Very Good,H,SI2,60.7,60.0,4.33,4.37,2.64,6.001
9129,0.42,Ideal,I,VVS1,62.7,55.0,4.8,4.77,3.0,6.851
9130,1.05,Ideal,G,SI2,62.2,54.0,6.52,6.56,4.07,8.448
9131,0.59,Very Good,F,VS1,61.7,59.0,5.35,5.38,3.31,7.618
9132,0.57,Ideal,F,VVS1,60.7,57.0,5.39,5.36,3.26,7.827
9133,0.74,Ideal,D,VS2,62.0,57.0,5.79,5.83,3.6,8.157
9134,1.15,Premium,D,SI1,61.1,53.0,6.83,6.76,4.15,8.884
9135,0.31,Ideal,I,VVS1,61.6,55.0,4.36,4.41,2.7,6.323
9136,0.3,Premium,H,SI1,60.8,61.0,4.3,4.25,2.6,6.292
9137,1.13,Very Good,H,SI1,60.1,60.0,6.73,6.77,4.06,8.509
9138,0.91,Good,G,VS1,63.6,60.0,6.11,6.03,3.86,8.345
9139,0.7,Premium,G,VVS2,60.2,61.0,5.74,5.66,3.43,8.006
9140,0.3,Ideal,D,VS2,60.6,58.0,4.31,4.33,2.62,6.507
9141,1.75,Premium,I,VS1,60.6,60.0,7.8,7.84,4.74,9.427
9142,0.52,Ideal,G,VVS2,62.1,57.0,5.17,5.13,3.2,7.607
9143,0.31,Ideal,I,VVS1,61.3,56.0,4.36,4.38,2.68,6.323
9144,0.91,Ideal,E,SI2,61.1,58.0,6.25,6.29,3.83,8.222
9145,0.41,Very Good,D,SI2,63.8,57.0,4.71,4.73,3.01,6.589
9146,1.51,Premium,D,SI2,63.0,62.0,7.28,7.23,4.57,9.2
9147,1.14,Ideal,F,VVS2,61.9,57.0,6.73,6.68,4.15,9.286
9148,0.31,Ideal,G,VVS1,62.3,53.0,4.37,4.42,2.74,6.657
9149,1.0,Ideal,I,SI1,58.5,55.0,6.47,6.42,3.77,8.152
9150,1.57,Very Good,I,VS2,60.3,58.0,7.58,7.55,4.56,9.254
9151,1.64,Ideal,J,VS2,62.4,54.5,7.53,7.57,4.71,9.132
9152,0.32,Ideal,G,IF,61.4,55.0,4.42,4.44,2.72,6.822
9153,0.81,Ideal,E,SI1,61.9,56.0,5.97,6.02,3.71,8.278
9154,0.31,Ideal,E,VS1,62.0,55.0,4.35,4.38,2.7,6.685
9155,0.32,Very Good,G,VVS2,62.6,54.0,4.37,4.39,2.74,6.51
9156,0.79,Ideal,I,VS2,63.0,58.0,5.85,5.89,3.7,7.905
9157,1.01,Very Good,H,SI2,63.5,58.0,6.29,6.37,4.02,8.406
9158,0.39,Premium,D,VS1,61.7,59.0,4.69,4.64,2.88,7.024
9159,0.65,Ideal,D,VS2,62.7,57.0,5.56,5.5,3.47,7.78
9160,1.51,Ideal,G,VS2,60.8,54.0,7.45,7.43,4.52,9.41
9161,0.7,Premium,E,VS1,62.9,60.0,5.62,5.54,3.51,7.931
9162,0.3,Ideal,I,VS2,62.1,54.0,4.32,4.35,2.69,6.082
9163,1.02,Premium,D,SI2,59.3,60.0,6.56,6.52,3.88,8.43
9164,0.48,Premium,F,SI1,59.6,59.0,5.13,5.11,3.05,6.928
9165,0.31,Ideal,D,SI1,62.9,56.0,4.34,4.31,2.72,6.596
9166,1.0,Premium,G,VVS2,60.5,62.0,6.44,6.39,3.88,8.908
9167,1.04,Premium,J,VS2,58.7,58.0,6.68,6.61,3.9,8.305
9168,0.44,Ideal,E,VVS1,59.9,57.0,4.93,4.97,2.96,7.271
9169,0.32,Good,I,SI1,63.5,57.0,4.3,4.33,2.74,6.043
9170,1.01,Premium,E,VS2,62.9,59.0,6.36,6.3,3.98,8.796
9171,0.35,Ideal,H,IF,60.8,56.0,4.61,4.6,2.8,6.925
9172,0.46,Ideal,F,SI1,62.5,56.0,4.92,4.94,3.08,6.86
9173,0.9,Very Good,D,SI2,63.2,57.0,6.08,6.1,3.85,8.247
9174,2.0,Good,F,SI1,63.0,61.0,7.85,7.99,4.99,9.819
9175,0.71,Ideal,D,VS2,60.1,56.0,5.77,5.83,3.48,8.301
9176,1.72,Premium,I,VVS2,62.7,58.0,7.6,7.54,4.75,9.434
9177,1.37,Premium,H,VS2,60.9,59.0,7.22,7.17,4.38,8.754
9178,0.55,Good,H,SI1,63.6,55.0,5.18,5.23,3.31,7.069
9179,1.75,Ideal,F,SI2,62.9,57.0,7.71,7.59,4.81,9.316
9180,1.23,Very Good,G,VVS2,60.6,55.0,6.93,7.02,4.23,9.211
9181,0.35,Ideal,D,VS2,62.4,57.0,4.56,4.51,2.83,6.969
9182,1.2,Premium,H,SI1,60.8,60.0,6.87,6.79,4.15,8.669
9183,0.44,Ideal,G,VVS1,61.6,56.0,4.9,4.88,3.01,7.165
9184,0.31,Ideal,G,VVS1,62.5,54.0,4.33,4.37,2.72,6.704
9185,0.51,Premium,G,VVS2,59.1,59.0,5.21,5.18,3.07,7.588
9186,0.71,Ideal,F,VS1,61.1,57.0,5.76,5.82,3.54,8.011
9187,1.35,Premium,I,SI1,59.2,59.0,7.24,7.18,4.27,8.791
9188,0.58,Very Good,E,SI1,61.5,58.0,5.31,5.36,3.28,7.261
9189,1.23,Premium,H,SI1,62.1,58.0,6.85,6.78,4.23,8.553
9190,0.73,Good,H,SI2,60.9,65.0,5.86,5.69,3.51,7.643
9191,0.5,Premium,E,VS2,60.1,61.0,5.2,5.15,3.11,7.258
9192,2.63,Ideal,J,SI2,62.1,57.0,8.83,8.88,5.5,9.736
9193,0.36,Ideal,E,VVS2,61.9,55.0,4.57,4.61,2.84,6.906
9194,1.08,Ideal,H,VS2,62.1,56.0,6.59,6.56,4.08,8.672
9195,0.31,Ideal,I,VVS1,62.1,56.0,4.38,4.35,2.71,6.596
9196,0.92,Ideal,D,SI2,61.9,55.0,6.24,6.27,3.87,8.527
9197,0.7,Ideal,F,SI1,60.8,57.0,5.73,5.71,3.48,7.862
9198,0.73,Good,E,SI2,63.3,57.0,5.69,5.72,3.61,7.778
9199,0.91,Premium,D,SI1,63.0,59.0,6.15,6.11,3.86,8.378
9200,1.01,Ideal,G,VS1,61.8,58.0,6.4,6.42,3.96,8.879
9201,0.39,Ideal,H,VVS2,61.4,56.1,4.7,4.73,2.89,6.749
9202,0.72,Ideal,H,VVS1,59.9,59.0,5.76,5.82,3.47,7.999
9203,1.04,Ideal,G,SI2,61.4,57.0,6.48,6.54,4.0,8.384
9204,1.05,Ideal,E,SI2,60.3,61.0,6.56,6.6,3.97,8.458
9205,1.19,Ideal,G,VS1,61.9,55.0,6.81,6.87,4.22,8.991
9206,2.01,Ideal,H,SI1,60.6,57.0,8.19,8.09,4.92,9.763
9207,0.35,Ideal,F,SI2,62.8,55.0,4.53,4.48,2.83,6.382
9208,0.42,Ideal,I,VVS1,62.4,57.0,4.79,4.83,3.0,6.784
9209,0.32,Premium,G,VS1,60.6,60.0,4.44,4.4,2.68,6.719
9210,1.02,Fair,I,SI1,53.0,63.0,6.84,6.77,3.66,7.957
9211,1.54,Good,E,I1,63.3,60.0,7.26,7.3,4.61,8.742
9212,0.33,Ideal,I,IF,61.5,56.0,4.43,4.47,2.74,6.578
9213,0.5,Very Good,G,VVS2,63.4,57.0,5.1,5.06,3.22,7.499
9214,0.72,Premium,F,SI2,61.3,59.0,5.81,5.76,3.55,7.424
9215,0.4,Ideal,G,SI2,62.5,53.0,4.75,4.79,2.98,6.583
9216,0.31,Very Good,G,VS2,59.0,60.0,4.37,4.41,2.59,6.299
9217,0.3,Fair,E,VS2,66.7,59.0,4.23,4.05,2.78,6.446
9218,0.57,Premium,E,VS2,61.4,58.0,5.32,5.37,3.28,7.523
9219,1.51,Premium,F,VS2,61.6,58.0,7.32,7.35,4.52,9.594
9220,0.78,Premium,F,SI2,62.7,56.0,5.87,5.84,3.67,7.801
9221,0.64,Premium,E,SI1,61.2,62.0,5.56,5.52,3.39,7.428
9222,1.01,Premium,G,SI2,60.1,61.0,6.6,6.55,3.95,8.373
9223,0.3,Ideal,F,VVS1,61.7,56.0,4.33,4.35,2.68,6.753
9224,1.05,Premium,G,SI2,60.1,60.0,6.66,6.58,3.98,8.268
9225,0.9,Premium,E,SI1,59.1,62.0,6.33,6.3,3.73,8.386
9226,1.18,Ideal,I,VS2,62.3,56.0,6.76,6.73,4.21,8.749
9227,1.51,Premium,E,SI1,63.0,58.0,7.4,7.27,4.62,9.087
9228,1.0,Premium,F,SI1,60.7,60.0,6.36,6.4,3.87,8.556
9229,1.0,Good,D,SI1,61.9,65.0,6.31,6.36,3.92,8.518
9230,0.9,Very Good,F,SI1,63.3,55.0,6.18,6.12,3.89,8.422
9231,0.33,Ideal,G,SI1,61.4,57.0,4.48,4.45,2.74,6.447
9232,0.73,Ideal,D,VS2,61.4,56.0,5.78,5.81,3.56,8.168
9233,1.01,Ideal,D,SI2,63.0,54.0,6.43,6.39,4.04,8.477
9234,0.41,Ideal,F,VVS1,61.9,56.0,4.77,4.79,2.96,7.166
9235,1.33,Very Good,H,SI2,63.5,57.0,6.99,6.88,4.4,8.628
9236,2.0,Fair,I,SI2,65.0,57.0,8.01,7.96,5.19,9.171
9237,1.01,Very Good,F,SI1,63.5,59.0,6.39,6.3,4.03,8.486
9238,0.97,Good,I,VS2,64.5,61.0,6.16,6.21,3.99,8.379
9239,0.34,Ideal,H,VS2,60.5,56.0,4.54,4.58,2.76,6.286
9240,0.7,Good,H,SI2,60.2,63.0,5.7,5.73,3.44,7.576
9241,1.51,Premium,G,VS1,62.4,60.0,7.34,7.3,4.57,9.469
9242,0.3,Ideal,E,VVS1,62.1,56.0,4.3,4.33,2.68,6.731
9243,1.13,Ideal,D,VS1,61.4,55.0,6.72,6.74,4.13,9.154
9244,1.12,Premium,F,VVS2,62.4,59.0,6.66,6.58,4.13,9.231
9245,0.3,Ideal,D,VVS2,61.5,55.0,4.34,4.38,2.68,6.948
9246,0.3,Premium,F,VVS2,62.4,58.0,4.28,4.25,2.66,6.851
9247,0.33,Ideal,F,VS2,60.9,56.0,4.47,4.49,2.73,6.428
9248,1.55,Very Good,G,SI2,61.9,60.0,7.31,7.36,4.54,9.091
9249,1.5,Ideal,G,SI1,62.0,56.0,7.29,7.33,4.53,9.313
9250,0.38,Premium,G,VS1,61.9,58.0,4.62,4.66,2.87,6.725
9251,0.45,Ideal,D,SI2,62.0,55.0,4.92,4.95,3.06,6.56
9252,0.52,Ideal,D,VS2,62.0,53.0,5.17,5.21,3.22,7.439
9253,2.02,Premium,I,VS2,59.6,60.0,8.25,8.2,4.9,9.733
9254,0.93,Good,J,VS2,63.6,61.0,6.16,6.08,3.89,8.006
9255,0.3,Good,H,SI1,63.8,55.0,4.2,4.26,2.7,6.068
9256,0.54,Very Good,G,SI1,62.2,57.0,5.17,5.22,3.23,7.124
9257,0.51,Very Good,G,VS2,62.9,54.0,5.08,5.12,3.21,7.271
9258,1.06,Ideal,F,VS2,61.1,56.5,6.57,6.6,4.03,8.941
9259,1.05,Good,E,SI1,64.2,61.0,6.41,6.33,4.09,8.511
9260,0.34,Ideal,E,VS2,62.6,55.0,4.45,4.43,2.78,6.863
9261,1.21,Ideal,F,VS2,61.3,56.0,6.86,6.91,4.22,9.148
9262,1.04,Premium,E,SI2,60.1,58.0,6.65,6.56,3.97,8.129
9263,0.33,Premium,G,VS1,61.9,59.0,4.43,4.45,2.75,6.501
9264,0.33,Ideal,D,SI1,61.9,55.0,4.45,4.47,2.76,6.601
9265,0.31,Ideal,G,VS1,61.9,56.0,4.38,4.34,2.7,6.544
9266,0.33,Ideal,E,VVS1,61.6,56.0,4.44,4.46,2.74,7.096
9267,0.5,Ideal,E,VS2,61.6,55.0,5.09,5.14,3.15,7.393
9268,0.5,Ideal,F,SI2,60.9,57.0,5.15,5.1,3.12,6.998
9269,0.7,Very Good,F,SI1,61.1,57.0,5.7,5.73,3.49,7.787
9270,1.02,Very Good,G,SI2,62.9,59.0,6.38,6.4,4.02,8.364
9271,0.38,Ideal,F,VS2,62.1,57.0,4.61,4.67,2.88,6.685
9272,2.09,Good,F,SI2,63.4,55.0,8.11,8.18,5.16,9.824
9273,0.32,Premium,H,VVS2,62.2,58.0,4.33,4.38,2.71,6.4
9274,0.52,Premium,D,VS2,61.2,58.0,5.2,5.16,3.17,7.56
9275,0.7,Very Good,I,VS2,61.8,59.0,5.67,5.73,3.52,7.696
9276,0.7,Good,D,VS2,63.4,57.0,5.6,5.67,3.57,7.993
9277,1.3,Very Good,J,VS2,61.6,56.0,7.02,7.07,4.34,8.671
9278,0.7,Very Good,G,VS2,63.1,58.0,5.65,5.61,3.55,7.816
9279,1.57,Premium,D,SI1,62.3,59.0,7.44,7.39,4.62,9.427
9280,0.7,Good,F,VS1,62.8,61.0,5.57,5.61,3.51,7.941
9281,1.2,Premium,G,VS2,59.6,58.0,6.94,6.89,4.12,8.89
9282,0.54,Ideal,E,VS2,61.6,56.0,5.24,5.28,3.24,7.481
9283,0.41,Premium,D,SI2,62.3,58.0,4.73,4.77,2.96,6.526
9284,0.31,Ideal,D,SI2,62.0,56.0,4.35,4.33,2.69,6.385
9285,1.25,Premium,G,VS1,61.8,58.0,6.94,6.91,4.28,9.124
9286,0.31,Premium,H,VVS1,61.8,59.0,4.36,4.32,2.68,6.667
9287,1.5,Very Good,H,VS2,62.0,55.0,7.26,7.37,4.57,9.18
9288,1.06,Premium,F,SI1,60.4,62.0,6.62,6.59,3.99,8.627
9289,0.43,Very Good,H,VS2,61.9,55.0,4.8,4.95,3.02,6.675
9290,0.71,Very Good,I,SI1,60.4,63.0,5.8,5.73,3.48,7.615
9291,0.72,Ideal,I,VS1,61.0,57.0,5.76,5.83,3.56,7.625
9292,0.31,Ideal,H,VS2,62.0,57.0,4.33,4.38,2.7,6.192
9293,1.33,Premium,G,SI2,59.2,62.0,7.22,7.16,4.26,8.579
9294,0.41,Ideal,G,IF,62.1,57.0,4.77,4.76,2.96,7.197
9295,0.4,Very Good,E,VVS1,63.4,57.0,4.64,4.66,2.95,7.06
9296,0.52,Very Good,D,VS2,62.9,59.0,5.11,5.13,3.22,7.521
9297,1.17,Ideal,J,SI1,62.3,55.0,6.74,6.77,4.21,8.494
9298,0.7,Premium,E,VS2,60.8,58.0,5.7,5.74,3.48,7.891
9299,0.56,Ideal,H,VS2,61.8,54.0,5.34,5.31,3.29,7.435
9300,0.7,Premium,F,VS2,60.5,58.0,5.78,5.76,3.49,7.882
9301,0.53,Very Good,G,VS1,61.2,57.0,5.22,5.26,3.2,7.407
9302,0.3,Very Good,F,VS2,62.8,56.0,4.29,4.31,2.7,6.405
9303,1.06,Very Good,E,SI1,59.6,57.0,6.62,6.67,3.96,8.581
9304,0.73,Premium,E,SI2,60.6,59.0,5.85,5.8,3.53,7.756
9305,0.3,Premium,E,SI1,61.8,60.0,4.28,4.23,2.63,6.515
9306,0.56,Very Good,E,VS2,61.7,56.0,5.25,5.31,3.26,7.47
9307,1.01,Premium,D,SI1,60.7,58.0,6.42,6.49,3.92,8.63
9308,0.7,Premium,E,SI2,62.8,59.0,5.69,5.64,3.56,7.814
9309,1.04,Very Good,D,VS2,63.1,54.0,6.44,6.53,4.09,8.946
9310,1.2,Ideal,I,VS2,61.1,58.0,6.83,6.86,4.18,8.749
9311,0.5,Fair,H,VS1,66.3,55.0,4.86,4.91,3.24,7.035
9312,0.99,Very Good,E,SI2,61.8,59.0,6.3,6.33,3.9,8.472
9313,0.55,Ideal,E,SI1,60.9,56.0,5.28,5.32,3.23,7.278
9314,0.71,Good,H,VVS2,63.0,59.0,5.64,5.67,3.56,7.831
9315,0.7,Ideal,F,VVS2,61.7,55.0,5.7,5.74,3.53,8.322
9316,0.32,Ideal,G,VS1,62.1,55.0,4.38,4.41,2.73,6.469
9317,0.3,Very Good,G,VVS2,63.0,57.0,4.28,4.32,2.71,6.528
9318,0.34,Very Good,H,VS2,61.9,60.0,4.42,4.46,2.75,6.286
9319,0.4,Ideal,E,VS2,62.9,55.0,4.74,4.73,2.98,6.882
9320,0.7,Ideal,E,SI1,60.2,58.0,5.75,5.78,3.47,7.87
9321,0.31,Ideal,D,VVS2,60.9,57.0,4.38,4.42,2.68,6.655
9322,0.54,Ideal,G,VS1,61.7,56.0,5.22,5.25,3.23,7.501
9323,1.24,Ideal,I,SI2,60.7,57.0,6.98,6.92,4.22,8.505
9324,0.71,Ideal,H,VS2,61.8,55.0,5.73,5.75,3.55,8.033
9325,0.73,Ideal,F,SI1,61.6,55.0,5.77,5.81,3.56,7.99
9326,0.42,Premium,G,VVS1,60.2,59.0,4.84,4.82,2.91,7.119
9327,1.17,Ideal,G,SI1,60.7,56.0,6.79,6.84,4.13,8.767
9328,0.37,Premium,E,VS2,60.3,58.0,4.66,4.63,2.8,6.948
9329,2.1,Premium,H,SI2,60.4,59.0,8.33,8.28,5.02,9.719
9330,1.59,Ideal,E,SI2,62.3,55.0,7.48,7.52,4.67,9.319
9331,1.3,Very Good,E,VVS2,60.5,58.0,7.05,7.11,4.28,9.527
9332,2.05,Very Good,F,SI2,59.5,58.0,8.26,8.3,4.93,9.73
9333,0.85,Ideal,E,VS1,63.0,57.0,6.08,5.99,3.8,8.34
9334,0.31,Ideal,D,SI1,62.6,57.0,4.3,4.32,2.7,6.347
9335,1.26,Very Good,D,SI1,59.9,59.0,7.02,7.14,4.24,8.96
9336,0.72,Ideal,G,VVS2,62.4,57.0,5.71,5.76,3.58,8.052
9337,0.32,Ideal,D,SI1,60.9,56.0,4.43,4.4,2.69,6.628
9338,0.74,Good,E,VS2,63.9,54.0,5.77,5.81,3.7,8.059
9339,1.01,Very Good,F,SI2,62.7,55.0,6.32,6.4,3.99,8.487
9340,0.24,Ideal,F,VVS1,61.8,59.0,4.0,4.03,2.48,6.265
9341,0.91,Fair,H,SI2,64.4,57.0,6.11,6.09,3.93,7.924
9342,0.53,Ideal,G,VS1,62.1,57.0,5.18,5.16,3.21,7.503
9343,0.36,Premium,H,VVS2,60.6,58.0,4.58,4.6,2.78,6.588
9344,0.41,Ideal,H,SI2,60.8,57.0,4.84,4.8,2.93,6.668
9345,0.9,Good,H,SI2,63.1,55.0,6.08,6.13,3.85,8.014
9346,2.02,Premium,G,SI2,60.1,59.0,8.21,8.29,4.96,9.738
9347,1.51,Fair,G,VS1,64.9,55.0,7.25,7.14,4.67,9.371
9348,0.31,Ideal,E,VS1,61.7,56.0,4.41,4.37,2.71,6.848
9349,0.56,Ideal,E,VS1,62.3,57.0,5.3,5.26,3.29,7.491
9350,1.33,Premium,G,VS1,60.2,60.0,7.12,7.2,4.31,9.191
9351,0.73,Premium,G,SI1,62.0,58.0,5.75,5.8,3.58,7.679
9352,0.78,Very Good,D,SI1,62.5,58.0,5.86,5.89,3.67,8.089
9353,0.41,Ideal,H,VVS1,61.5,55.0,4.79,4.81,2.95,6.851
9354,0.32,Ideal,G,VVS1,61.2,56.0,4.42,4.44,2.71,6.702
9355,0.41,Ideal,F,VVS2,62.5,56.0,4.72,4.75,2.96,7.017
9356,0.56,Ideal,G,VS2,62.1,56.0,5.31,5.29,3.29,7.437
9357,0.41,Good,F,SI1,63.1,59.0,4.7,4.75,2.98,6.558
9358,0.51,Ideal,E,VVS1,62.3,53.7,5.1,5.12,3.19,7.834
9359,0.52,Ideal,E,VS1,61.8,56.0,5.17,5.19,3.2,7.73
9360,0.32,Ideal,D,SI1,60.8,57.0,4.41,4.44,2.69,6.378
9361,1.01,Very Good,F,SI1,60.3,60.0,6.46,6.55,3.92,8.512
9362,0.74,Ideal,G,SI1,60.6,55.0,5.87,5.93,3.57,8.049
9363,0.33,Premium,I,VVS2,61.5,58.0,4.43,4.45,2.73,6.361
9364,1.51,Premium,I,VS1,62.3,60.0,7.28,7.32,4.55,9.156
9365,1.01,Ideal,D,SI2,62.6,56.0,6.4,6.34,3.99,8.491
9366,1.01,Good,D,VS2,64.0,58.0,6.3,6.24,4.01,8.728
9367,0.26,Premium,E,VS1,61.9,58.0,4.1,4.11,2.54,6.114
9368,0.3,Good,H,SI2,63.9,56.0,4.24,4.27,2.72,5.908
9369,1.24,Very Good,I,SI1,60.0,59.0,6.98,7.01,4.2,8.628
9370,1.01,Ideal,E,SI2,62.0,56.0,6.46,6.42,3.99,8.454
9371,0.9,Fair,E,SI2,65.8,59.0,6.03,5.98,3.95,8.0
9372,0.39,Premium,F,IF,58.0,61.0,4.83,4.79,2.79,7.162
9373,0.71,Ideal,H,VS2,61.8,55.0,5.75,5.78,3.56,8.033
9374,0.38,Ideal,G,VVS2,61.0,56.0,4.67,4.71,2.86,6.849
9375,0.34,Ideal,G,SI1,61.8,54.4,4.49,4.52,2.79,6.275
9376,0.58,Ideal,H,SI1,60.6,56.0,5.44,5.49,3.31,7.234
9377,0.31,Ideal,F,VVS1,62.2,53.0,4.35,4.37,2.71,6.733
9378,0.5,Very Good,G,VVS2,60.0,56.0,5.18,5.21,3.12,7.723
9379,0.66,Very Good,H,VS2,60.9,57.0,5.63,5.65,3.43,7.518
9380,0.32,Premium,H,VS1,60.2,58.0,4.43,4.47,2.68,6.33
9381,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,7.902
9382,0.91,Good,E,VS2,56.3,64.0,6.37,6.42,3.6,8.481
9383,1.16,Ideal,H,VS2,62.1,57.0,6.7,6.73,4.17,8.847
9384,1.45,Very Good,J,SI1,62.4,57.0,7.16,7.23,4.49,8.751
9385,0.71,Ideal,G,VS1,62.9,58.0,5.66,5.69,3.57,7.944
9386,1.07,Premium,F,VS1,60.6,61.0,6.62,6.56,3.99,8.837
9387,1.01,Premium,I,SI1,61.8,58.0,6.45,6.37,3.96,8.339
9388,0.43,Premium,E,SI2,62.7,55.0,4.87,4.83,3.04,6.823
9389,1.5,Premium,G,VS2,62.5,59.0,7.32,7.28,4.56,9.418
9390,0.33,Ideal,F,VS1,61.2,56.0,4.46,4.49,2.74,6.583
9391,0.9,Very Good,G,SI1,62.7,59.0,6.12,6.17,3.85,8.309
9392,1.22,Ideal,I,SI1,61.7,57.0,6.91,6.86,4.25,8.631
9393,0.43,Premium,D,VS2,60.0,59.0,4.93,4.91,2.95,7.118
9394,0.52,Premium,G,VS1,62.4,60.0,5.12,5.11,3.19,7.504
9395,0.55,Ideal,F,SI2,61.2,56.0,5.29,5.23,3.22,7.141
9396,0.51,Very Good,E,SI1,60.8,57.0,5.19,5.24,3.17,7.271
9397,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,6.687
9398,1.51,Ideal,E,SI1,61.3,57.0,7.35,7.42,4.53,9.361
9399,1.51,Premium,F,VS2,62.9,61.0,7.31,7.22,4.57,9.543
9400,0.8,Very Good,G,SI2,63.0,55.0,5.92,5.95,3.74,7.869
9401,0.92,Premium,H,SI1,62.0,60.0,6.27,6.21,3.87,8.176
9402,0.62,Ideal,I,SI2,62.5,55.0,5.45,5.49,3.42,7.057
9403,0.85,Premium,D,SI2,60.5,60.0,6.11,6.06,3.68,7.915
9404,0.41,Ideal,G,SI2,61.7,55.0,4.78,4.81,2.96,6.498
9405,1.14,Premium,F,SI1,60.4,58.0,6.82,6.79,4.11,8.751
9406,0.7,Premium,F,SI1,60.8,56.0,5.72,5.66,3.46,7.781
9407,0.26,Ideal,I,VS1,61.9,56.0,4.08,4.16,2.55,5.881
